 freq mag phase
 1.25892541e+05 -6.26419378e-02 -6.86153908e+00 
 1.41253754e+05 -7.74037860e-02 -7.69040189e+00 
 1.58489319e+05 -9.59169158e-02 -8.61700191e+00 
 1.77827941e+05 -1.19112103e-01 -9.65190386e+00 
 1.99526231e+05 -1.48138375e-01 -1.08064311e+01 
 2.23872114e+05 -1.84407070e-01 -1.20925626e+01 
 2.51188643e+05 -2.29640918e-01 -1.35227519e+01 
 2.81838293e+05 -2.85926328e-01 -1.51096457e+01 
 3.16227766e+05 -3.55765604e-01 -1.68656706e+01 
 3.54813389e+05 -4.42123530e-01 -1.88024651e+01 
 3.98107171e+05 -5.48460053e-01 -2.09301320e+01 
 4.46683592e+05 -6.78737669e-01 -2.32563098e+01 
 5.01187234e+05 -8.37389478e-01 -2.57850847e+01 
 5.62341325e+05 -1.02923265e+00 -2.85158137e+01 
 6.30957344e+05 -1.25931404e+00 -3.14419826e+01 
 7.07945784e+05 -1.53268171e+00 -3.45502833e+01 
 7.94328235e+05 -1.85408867e+00 -3.78201365e+01 
 8.91250938e+05 -2.22765305e+00 -4.12238829e+01 
 1.00000000e+06 -2.65651669e+00 -4.47277951e+01 
 1.12201845e+06 -3.14255679e+00 -4.82939243e+01 
 1.25892541e+06 -3.68620437e+00 -5.18826113e+01 
 1.41253754e+06 -4.28640701e+00 -5.54553222e+01 
 1.58489319e+06 -4.94074430e+00 -5.89773863e+01 
 1.77827941e+06 -5.64567273e+00 -6.24202374e+01 
 1.99526231e+06 -6.39685303e+00 -6.57628993e+01 
 2.23872114e+06 -7.18950412e+00 -6.89926334e+01 
 2.51188643e+06 -8.01873444e+00 -7.21048402e+01 
 2.81838293e+06 -8.87981734e+00 -7.51024127e+01 
 3.16227766e+06 -9.76839613e+00 -7.79947723e+01 
 3.54813389e+06 -1.06806198e+01 -8.07968013e+01 
 3.98107171e+06 -1.16132210e+01 -8.35278283e+01 
 4.46683592e+06 -1.25635509e+01 -8.62107683e+01 
 5.01187234e+06 -1.35295890e+01 -8.88714655e+01 
 5.62341325e+06 -1.45099396e+01 -9.15382568e+01 
 6.30957344e+06 -1.55038278e+01 -9.42417553e+01 
 7.07945784e+06 -1.65111034e+01 -9.70148560e+01 
 7.94328235e+06 -1.75322582e+01 -9.98929892e+01 
 8.91250938e+06 -1.85684667e+01 -1.02914700e+02 
 1.00000000e+07 -1.96216659e+01 -1.06122729e+02 
 1.12201845e+07 -2.06947238e+01 -1.09565891e+02 
 1.25892541e+07 -2.17918152e+01 -1.13302126e+02 
 1.41253754e+07 -2.29192642e+01 -1.17402692e+02 
 1.58489319e+07 -2.40872557e+01 -1.21955743e+02 
 1.77827941e+07 -2.53126722e+01 -1.27063992e+02 
 1.99526231e+07 -2.66223911e+01 -1.32828524e+02 
 2.23872114e+07 -2.80550633e+01 -1.39317236e+02 
 2.51188643e+07 -2.96599258e+01 -1.46532004e+02 
 2.81838293e+07 -3.14944404e+01 -1.54390514e+02 
 3.16227766e+07 -3.36237263e+01 -1.62714730e+02 
 3.54813389e+07 -3.61212434e+01 -1.71207424e+02 
 3.98107171e+07 -3.90690715e+01 -1.79423423e+02 
 4.46683592e+07 -4.25624964e+01 -1.86754509e+02 
 5.01187234e+07 -4.67343743e+01 -1.92401076e+02 
 5.62341325e+07 -5.18371547e+01 -1.95162082e+02 
 6.30957344e+07 -5.85272854e+01 -1.92124783e+02 
 7.07945784e+07 -6.89103357e+01 -1.64631186e+02 
 7.94328235e+07 -6.91684691e+01 -6.23147411e+01 
 8.91250938e+07 -6.38325848e+01 -3.89843664e+01 
 1.00000000e+08 -6.13093687e+01 -2.93817777e+01 
 1.12201845e+08 -5.97467405e+01 -2.26296732e+01 
 1.25892541e+08 -5.86047469e+01 -1.74908800e+01 
 1.41253754e+08 -5.77110003e+01 -1.36500002e+01 
 1.58489319e+08 -5.70011437e+01 -1.08422537e+01 
 1.77827941e+08 -5.64401570e+01 -8.80356214e+00 
 1.99526231e+08 -5.60007223e+01 -7.30876760e+00 
