 freq mag phase real
 3.54813389e+03  4.92204229e+01 -7.96713000e+01  5.18309771e+01 
 3.98107171e+03  4.82492781e+01 -8.07759374e+01  4.14367701e+01 
 4.46683592e+03  4.72723361e+01 -8.17665636e+01  3.30810730e+01 
 5.01187234e+03  4.62907393e+01 -8.26539323e+01  2.63802399e+01 
 5.62341325e+03  4.53054132e+01 -8.34481003e+01  2.10168852e+01 
 6.30957344e+03  4.43171046e+01 -8.41583755e+01  1.67306790e+01 
 7.07945784e+03  4.33264138e+01 -8.47933034e+01  1.33095210e+01 
 7.94328235e+03  4.23338227e+01 -8.53606823e+01  1.05815174e+01 
 8.91250938e+03  4.13397167e+01 -8.58675943e+01  8.40793930e+00 
 1.00000000e+04  4.03444042e+01 -8.63204466e+01  6.67719588e+00 
 1.12201845e+04  3.93481311e+01 -8.67250247e+01  5.29975067e+00 
 1.25892541e+04  3.83510938e+01 -8.70865380e+01  4.20391805e+00 
 1.41253754e+04  3.73534486e+01 -8.74096705e+01  3.33239790e+00 
 1.58489319e+04  3.63553199e+01 -8.76986246e+01  2.63945371e+00 
 1.77827941e+04  3.53568067e+01 -8.79571779e+01  2.08860458e+00 
 1.99526231e+04  3.43579881e+01 -8.81887264e+01  1.65077731e+00 
 2.23872114e+04  3.33589266e+01 -8.83963069e+01  1.30283152e+00 
 2.51188643e+04  3.23596720e+01 -8.85826583e+01  1.02633997e+00 
 2.81838293e+04  3.13602640e+01 -8.87502352e+01  8.06648682e-01 
 3.16227766e+04  3.03607340e+01 -8.89012577e+01  6.32096343e-01 
 3.54813389e+04  2.93611071e+01 -8.90377142e+01  4.93419605e-01 
 3.98107171e+04  2.83614030e+01 -8.91614161e+01  3.83246817e-01 
 4.46683592e+04  2.73616376e+01 -8.92739985e+01  2.95723014e-01 
 5.01187234e+04  2.63618232e+01 -8.93769544e+01  2.26193322e-01 
 5.62341325e+04  2.53619699e+01 -8.94716467e+01  1.70959838e-01 
 6.30957344e+04  2.43620853e+01 -8.95593314e+01  1.27083593e-01 
 7.07945784e+04  2.33621757e+01 -8.96411705e+01  9.22298474e-02 
 7.94328235e+04  2.23622458e+01 -8.97182495e+01  6.45435170e-02 
 8.91250938e+04  2.13622994e+01 -8.97915909e+01  4.25508395e-02 
 1.00000000e+05  2.03623393e+01 -8.98621682e+01  2.50809116e-02 
 1.12201845e+05  1.93623676e+01 -8.99309168e+01  1.12038698e-02 
 1.25892541e+05  1.83623860e+01 -8.99987497e+01  1.80725712e-04 
 1.41253754e+05  1.73623952e+01 -9.00665658e+01 -8.57527344e-03 
 1.58489319e+05  1.63623959e+01 -9.01352651e+01 -1.55303935e-02 
 1.77827941e+05  1.53623881e+01 -9.02057595e+01 -2.10550229e-02 
 1.99526231e+05  1.43623713e+01 -9.02789844e+01 -2.54433437e-02 
 2.23872114e+05  1.33623447e+01 -9.03559114e+01 -2.89290202e-02 
 2.51188643e+05  1.23623069e+01 -9.04375609e+01 -3.16976426e-02 
 2.81838293e+05  1.13622557e+01 -9.05250165e+01 -3.38966691e-02 
 3.16227766e+05  1.03621886e+01 -9.06194384e+01 -3.56431826e-02 
 3.54813389e+05  9.36210189e+00 -9.07220799e+01 -3.70302134e-02 
 3.98107171e+05  8.36199099e+00 -9.08343022e+01 -3.81315958e-02 
 4.46683592e+05  7.36185001e+00 -9.09575950e+01 -3.90060107e-02 
