vsweep  v1  v2  v3  v4  v5    
 6.40000000e-03  1.20954407e-03  9.00324526e-06  2.71590360e-07  2.55960764e-07  2.55900130e-07 
 6.50000000e-03  1.21180747e-03  9.02639135e-06  2.71501548e-07  2.56020550e-07  2.55487453e-07 
 6.60000000e-03  1.21407469e-03  9.04951503e-06  2.71887902e-07  2.55822866e-07  2.55768116e-07 
 6.70000000e-03  1.21634587e-03  9.07301639e-06  2.71921077e-07  2.55788968e-07  2.55381859e-07 
 6.80000000e-03  1.21862076e-03  9.09624218e-06  2.71908689e-07  2.55943295e-07  2.55843052e-07 
 6.90000000e-03  1.22089931e-03  9.12002120e-06  2.71824038e-07  2.56094379e-07  2.56062683e-07 
 7.00000000e-03  1.22318163e-03  9.14325221e-06  2.72012237e-07  2.56155788e-07  2.55956853e-07 
 7.10000000e-03  1.22546798e-03  9.16699601e-06  2.71792814e-07  2.55925612e-07  2.55974198e-07 
 7.20000000e-03  1.22775811e-03  9.19054287e-06  2.72131536e-07  2.55888286e-07  2.56131347e-07 
 7.30000000e-03  1.23005162e-03  9.21438536e-06  2.71911880e-07  2.55827530e-07  2.55789802e-07 
 7.40000000e-03  1.23234897e-03  9.23812254e-06  2.72360053e-07  2.56039315e-07  2.55737086e-07 
 7.50000000e-03  1.23465007e-03  9.26210175e-06  2.72506696e-07  2.56183686e-07  2.55764682e-07 
 7.60000000e-03  1.23695517e-03  9.28583210e-06  2.72183415e-07  2.55921981e-07  2.55827748e-07 
 7.70000000e-03  1.23926428e-03  9.31024145e-06  2.72437476e-07  2.55825764e-07  2.55834747e-07 
 7.80000000e-03  1.24157663e-03  9.33417889e-06  2.72256321e-07  2.55874165e-07  2.55794755e-07 
 7.90000000e-03  1.24389318e-03  9.35833186e-06  2.72113620e-07  2.55724521e-07  2.55737551e-07 
 8.00000000e-03  1.24621321e-03  9.38266673e-06  2.72379491e-07  2.55942307e-07  2.55872075e-07 
 8.10000000e-03  1.24853698e-03  9.40693135e-06  2.72586254e-07  2.55975473e-07  2.56032318e-07 
 8.20000000e-03  1.25086485e-03  9.43141318e-06  2.72665064e-07  2.55734162e-07  2.55741696e-07 
 8.30000000e-03  1.25319619e-03  9.45604765e-06  2.72548982e-07  2.56140362e-07  2.55966561e-07 
 8.40000000e-03  1.25553180e-03  9.48076087e-06  2.72560446e-07  2.55824230e-07  2.56213591e-07 
 8.50000000e-03  1.25787151e-03  9.50507831e-06  2.72856863e-07  2.55604991e-07  2.55888895e-07 
 8.60000000e-03  1.26021428e-03  9.52997362e-06  2.72989405e-07  2.55976893e-07  2.55822401e-07 
 8.70000000e-03  1.26256096e-03  9.55447427e-06  2.73147688e-07  2.55891110e-07  2.55893503e-07 
 8.80000000e-03  1.26491186e-03  9.57921077e-06  2.72833889e-07  2.55891804e-07  2.55951618e-07 
 8.90000000e-03  1.26726632e-03  9.60465783e-06  2.72798738e-07  2.55603480e-07  2.55788030e-07 
 9.00000000e-03  1.26962505e-03  9.62955833e-06  2.72969474e-07  2.55575880e-07  2.55749139e-07 
 9.10000000e-03  1.27198695e-03  9.65472951e-06  2.72905029e-07  2.56008523e-07  2.55682761e-07 
 9.20000000e-03  1.27435335e-03  9.67997149e-06  2.72859772e-07  2.55803563e-07  2.55918157e-07 
 9.30000000e-03  1.27672341e-03  9.70521730e-06  2.73068331e-07  2.55796790e-07  2.56026082e-07 
 9.40000000e-03  1.27909745e-03  9.73023665e-06  2.73116552e-07  2.55865168e-07  2.56128956e-07 
 9.50000000e-03  1.28147523e-03  9.75601146e-06  2.73427446e-07  2.55950693e-07  2.55836716e-07 
 9.60000000e-03  1.28385682e-03  9.78133400e-06  2.73245479e-07  2.55939725e-07  2.55910887e-07 
 9.70000000e-03  1.28624237e-03  9.80688495e-06  2.73183232e-07  2.55924669e-07  2.55769189e-07 
 9.80000000e-03  1.28863210e-03  9.83254266e-06  2.73354445e-07  2.56095240e-07  2.55749749e-07 
 9.90000000e-03  1.29102540e-03  9.85806575e-06  2.73549965e-07  2.55863879e-07  2.56106199e-07 
 1.00000000e-02  1.29342246e-03  9.88402685e-06  2.73555571e-07  2.56126842e-07  2.55832902e-07 
 1.01000000e-02  1.29582392e-03  9.91016182e-06  2.73578228e-07  2.55991663e-07  2.55601536e-07 
 1.02000000e-02  1.29822875e-03  9.93605816e-06  2.73479719e-07  2.55913094e-07  2.55741627e-07 
 1.03000000e-02  1.30063786e-03  9.96204735e-06  2.73465488e-07  2.55888850e-07  2.55918768e-07 
 1.04000000e-02  1.30305083e-03  9.98804552e-06  2.73495774e-07  2.55828335e-07  2.55670806e-07 
 1.05000000e-02  1.30546750e-03  1.00141368e-05  2.73666255e-07  2.56246660e-07  2.55983998e-07 
 1.06000000e-02  1.30788861e-03  1.00407207e-05  2.73658311e-07  2.55821672e-07  2.56000265e-07 
 1.07000000e-02  1.31031292e-03  1.00667867e-05  2.73855380e-07  2.55917865e-07  2.55919769e-07 
 1.08000000e-02  1.31274212e-03  1.00931259e-05  2.73946795e-07  2.55880039e-07  2.56150318e-07 
 1.09000000e-02  1.31517478e-03  1.01196823e-05  2.73891382e-07  2.56361903e-07  2.55932771e-07 
 1.10000000e-02  1.31761128e-03  1.01465229e-05  2.73933437e-07  2.55723790e-07  2.55773545e-07 
 1.11000000e-02  1.32005170e-03  1.01732489e-05  2.74084482e-07  2.56044053e-07  2.55933063e-07 
 1.12000000e-02  1.32249650e-03  1.01999022e-05  2.74202891e-07  2.55673362e-07  2.55886985e-07 
 1.13000000e-02  1.32494475e-03  1.02267812e-05  2.74155954e-07  2.55743310e-07  2.55966403e-07 
 1.14000000e-02  1.32739721e-03  1.02536631e-05  2.74188749e-07  2.56077483e-07  2.56053161e-07 
 1.15000000e-02  1.32985387e-03  1.02807132e-05  2.74093960e-07  2.55850926e-07  2.55685077e-07 
 1.16000000e-02  1.33231419e-03  1.03076816e-05  2.74082693e-07  2.55886496e-07  2.55819033e-07 
 1.17000000e-02  1.33477858e-03  1.03350631e-05  2.74280399e-07  2.55870878e-07  2.55725711e-07 
 1.18000000e-02  1.33724719e-03  1.03621306e-05  2.74138105e-07  2.55789152e-07  2.55862147e-07 
 1.19000000e-02  1.33971997e-03  1.03893440e-05  2.74468902e-07  2.55858462e-07  2.55725447e-07 
 1.20000000e-02  1.34219631e-03  1.04166900e-05  2.74299900e-07  2.55755028e-07  2.55833250e-07 
 1.21000000e-02  1.34467686e-03  1.04444003e-05  2.74477623e-07  2.55837004e-07  2.55621406e-07 
 1.22000000e-02  1.34716099e-03  1.04718904e-05  2.74526483e-07  2.56009618e-07  2.55561087e-07 
 1.23000000e-02  1.34964985e-03  1.04996691e-05  2.74263126e-07  2.56139345e-07  2.55907934e-07 
 1.24000000e-02  1.35214233e-03  1.05271663e-05  2.74524721e-07  2.55998062e-07  2.55695453e-07 
 1.25000000e-02  1.35463908e-03  1.05551943e-05  2.74773322e-07  2.56167546e-07  2.55817869e-07 
 1.26000000e-02  1.35713982e-03  1.05829108e-05  2.74638496e-07  2.55971504e-07  2.55915856e-07 
 1.27000000e-02  1.35964442e-03  1.06113095e-05  2.74515425e-07  2.55706423e-07  2.55959744e-07 
 1.28000000e-02  1.36215303e-03  1.06392207e-05  2.75095972e-07  2.55804607e-07  2.55980200e-07 
 1.29000000e-02  1.36466630e-03  1.06674746e-05  2.75101100e-07  2.55898642e-07  2.55562358e-07 
 1.30000000e-02  1.36718265e-03  1.06959407e-05  2.74781908e-07  2.56227933e-07  2.55852002e-07 
 1.31000000e-02  1.36970362e-03  1.07237842e-05  2.74929188e-07  2.56174851e-07  2.55550138e-07 
 1.32000000e-02  1.37222925e-03  1.07524327e-05  2.75063801e-07  2.55867359e-07  2.55986699e-07 
 1.33000000e-02  1.37475800e-03  1.07811974e-05  2.75309790e-07  2.56236501e-07  2.55873156e-07 
 1.34000000e-02  1.37729123e-03  1.08097716e-05  2.75289629e-07  2.55899029e-07  2.55911064e-07 
 1.35000000e-02  1.37982866e-03  1.08381928e-05  2.75345550e-07  2.55989428e-07  2.55835858e-07 
 1.36000000e-02  1.38237011e-03  1.08670212e-05  2.75532489e-07  2.56014035e-07  2.55820630e-07 
 1.37000000e-02  1.38491571e-03  1.08957329e-05  2.75377666e-07  2.55932494e-07  2.55871974e-07 
 1.38000000e-02  1.38746551e-03  1.09247175e-05  2.75586270e-07  2.55960123e-07  2.55967817e-07 
 1.39000000e-02  1.39001915e-03  1.09538330e-05  2.75338844e-07  2.55901752e-07  2.56124931e-07 
 1.40000000e-02  1.39257687e-03  1.09831277e-05  2.75584611e-07  2.55739987e-07  2.56072496e-07 
 1.41000000e-02  1.39513908e-03  1.10119510e-05  2.75564018e-07  2.55948426e-07  2.55981596e-07 
 1.42000000e-02  1.39770499e-03  1.10413306e-05  2.75583389e-07  2.55898305e-07  2.56014857e-07 
 1.43000000e-02  1.40027541e-03  1.10708685e-05  2.75620516e-07  2.55838834e-07  2.55757922e-07 
 1.44000000e-02  1.40284968e-03  1.11000672e-05  2.75676030e-07  2.56028479e-07  2.56041140e-07 
 1.45000000e-02  1.40542826e-03  1.11299671e-05  2.76206779e-07  2.56161479e-07  2.56045153e-07 
 1.46000000e-02  1.40801111e-03  1.11593563e-05  2.76264061e-07  2.56019553e-07  2.55949441e-07 
 1.47000000e-02  1.41059765e-03  1.11890822e-05  2.75996280e-07  2.55773359e-07  2.56065900e-07 
 1.48000000e-02  1.41318915e-03  1.12187825e-05  2.76037404e-07  2.55863515e-07  2.55991841e-07 
 1.49000000e-02  1.41578402e-03  1.12491828e-05  2.76149587e-07  2.55751613e-07  2.55617978e-07 
 1.50000000e-02  1.41838341e-03  1.12787995e-05  2.76312486e-07  2.55879003e-07  2.55697723e-07 
 1.51000000e-02  1.42098687e-03  1.13088444e-05  2.76132438e-07  2.55881099e-07  2.55734823e-07 
 1.52000000e-02  1.42359487e-03  1.13393178e-05  2.76282696e-07  2.55799628e-07  2.55721643e-07 
 1.53000000e-02  1.42620691e-03  1.13694716e-05  2.76318997e-07  2.55829750e-07  2.55814103e-07 
 1.54000000e-02  1.42882318e-03  1.13997185e-05  2.76456776e-07  2.55818029e-07  2.55784973e-07 
 1.55000000e-02  1.43144324e-03  1.14303074e-05  2.76392416e-07  2.56149854e-07  2.55632363e-07 
 1.56000000e-02  1.43406811e-03  1.14607869e-05  2.76588649e-07  2.56102823e-07  2.55835130e-07 
 1.57000000e-02  1.43669666e-03  1.14914691e-05  2.76672842e-07  2.55821849e-07  2.56216808e-07 
 1.58000000e-02  1.43932968e-03  1.15221870e-05  2.76683758e-07  2.55984653e-07  2.55758507e-07 
 1.59000000e-02  1.44196711e-03  1.15528090e-05  2.76852163e-07  2.55728288e-07  2.55761703e-07 
 1.60000000e-02  1.44460852e-03  1.15840061e-05  2.77067940e-07  2.56119107e-07  2.55777530e-07 
 1.61000000e-02  1.44725408e-03  1.16150587e-05  2.76825141e-07  2.55750531e-07  2.56008312e-07 
 1.62000000e-02  1.44990425e-03  1.16460748e-05  2.76998117e-07  2.56059602e-07  2.55958625e-07 
 1.63000000e-02  1.45255802e-03  1.16768983e-05  2.76658483e-07  2.55938762e-07  2.55966284e-07 
 1.64000000e-02  1.45521682e-03  1.17086146e-05  2.76990386e-07  2.56144838e-07  2.55581873e-07 
 1.65000000e-02  1.45787929e-03  1.17399523e-05  2.77159871e-07  2.55666780e-07  2.55903921e-07 
 1.66000000e-02  1.46054682e-03  1.17713904e-05  2.77433697e-07  2.55628293e-07  2.55938899e-07 
 1.67000000e-02  1.46321785e-03  1.18028912e-05  2.77258529e-07  2.55900985e-07  2.55922351e-07 
 1.68000000e-02  1.46589345e-03  1.18343625e-05  2.77550289e-07  2.56037545e-07  2.55864572e-07 
 1.69000000e-02  1.46857338e-03  1.18661383e-05  2.77186309e-07  2.55623215e-07  2.55574475e-07 
 1.70000000e-02  1.47125741e-03  1.18982115e-05  2.77503264e-07  2.55828284e-07  2.55743617e-07 
 1.71000000e-02  1.47394570e-03  1.19302010e-05  2.77515409e-07  2.55805992e-07  2.55856639e-07 
 1.72000000e-02  1.47663866e-03  1.19620032e-05  2.77596309e-07  2.55806199e-07  2.55865637e-07 
 1.73000000e-02  1.47933559e-03  1.19943539e-05  2.77592699e-07  2.55683264e-07  2.55880254e-07 
 1.74000000e-02  1.48203722e-03  1.20265516e-05  2.77855027e-07  2.55858298e-07  2.55581190e-07 
 1.75000000e-02  1.48474261e-03  1.20586189e-05  2.77756382e-07  2.55879827e-07  2.55753504e-07 
 1.76000000e-02  1.48745294e-03  1.20910229e-05  2.77707496e-07  2.55624345e-07  2.55890181e-07 
 1.77000000e-02  1.49016712e-03  1.21236741e-05  2.78040662e-07  2.56032933e-07  2.56092285e-07 
 1.78000000e-02  1.49288553e-03  1.21565294e-05  2.78158245e-07  2.55773587e-07  2.55925358e-07 
 1.79000000e-02  1.49560889e-03  1.21890292e-05  2.78084406e-07  2.55784231e-07  2.55511667e-07 
 1.80000000e-02  1.49833613e-03  1.22217726e-05  2.77945085e-07  2.55765023e-07  2.55898850e-07 
 1.81000000e-02  1.50106822e-03  1.22548006e-05  2.77971258e-07  2.55639103e-07  2.55775200e-07 
 1.82000000e-02  1.50380387e-03  1.22875482e-05  2.78105025e-07  2.55769984e-07  2.56143703e-07 
 1.83000000e-02  1.50654476e-03  1.23207323e-05  2.78393572e-07  2.55810813e-07  2.55850814e-07 
 1.84000000e-02  1.50928938e-03  1.23541427e-05  2.78160982e-07  2.55641614e-07  2.55840471e-07 
 1.85000000e-02  1.51203866e-03  1.23871952e-05  2.78721779e-07  2.56001314e-07  2.55637699e-07 
 1.86000000e-02  1.51479216e-03  1.24208648e-05  2.78162552e-07  2.55948046e-07  2.55934213e-07 
 1.87000000e-02  1.51755018e-03  1.24541993e-05  2.78563468e-07  2.56081701e-07  2.55967679e-07 
 1.88000000e-02  1.52031297e-03  1.24878252e-05  2.78503585e-07  2.56049708e-07  2.56009444e-07 
 1.89000000e-02  1.52307942e-03  1.25213199e-05  2.78763379e-07  2.56052919e-07  2.55787607e-07 
 1.90000000e-02  1.52585064e-03  1.25550780e-05  2.79008043e-07  2.56125186e-07  2.55710835e-07 
 1.91000000e-02  1.52862646e-03  1.25893281e-05  2.78983068e-07  2.55918329e-07  2.55964526e-07 
 1.92000000e-02  1.53140657e-03  1.26230630e-05  2.78797424e-07  2.55728526e-07  2.56073850e-07 
 1.93000000e-02  1.53419079e-03  1.26572149e-05  2.78867871e-07  2.56142213e-07  2.56060252e-07 
 1.94000000e-02  1.53697975e-03  1.26915124e-05  2.79074949e-07  2.55942714e-07  2.56045530e-07 
 1.95000000e-02  1.53977310e-03  1.27258540e-05  2.78938110e-07  2.56098925e-07  2.55935301e-07 
 1.96000000e-02  1.54257114e-03  1.27599602e-05  2.78882600e-07  2.55970786e-07  2.55671842e-07 
 1.97000000e-02  1.54537322e-03  1.27943839e-05  2.79325412e-07  2.55749750e-07  2.55967755e-07 
 1.98000000e-02  1.54817993e-03  1.28290818e-05  2.79197614e-07  2.55975689e-07  2.56152273e-07 
 1.99000000e-02  1.55099103e-03  1.28636618e-05  2.79326103e-07  2.55832637e-07  2.55819085e-07 
 2.00000000e-02  1.55380657e-03  1.28986230e-05  2.79225667e-07  2.55858020e-07  2.55715158e-07 
 2.01000000e-02  1.55662659e-03  1.29333012e-05  2.79655401e-07  2.55791267e-07  2.55667600e-07 
 2.02000000e-02  1.55945155e-03  1.29682731e-05  2.79532469e-07  2.55678106e-07  2.56011417e-07 
 2.03000000e-02  1.56228047e-03  1.30035760e-05  2.79703537e-07  2.55713268e-07  2.55875042e-07 
 2.04000000e-02  1.56511398e-03  1.30385551e-05  2.79924262e-07  2.55676610e-07  2.55662794e-07 
 2.05000000e-02  1.56795209e-03  1.30740475e-05  2.79849582e-07  2.55598778e-07  2.55504194e-07 
 2.06000000e-02  1.57079475e-03  1.31096401e-05  2.79727902e-07  2.56039813e-07  2.55947752e-07 
 2.07000000e-02  1.57364189e-03  1.31449202e-05  2.79718634e-07  2.55860022e-07  2.55779423e-07 
 2.08000000e-02  1.57649318e-03  1.31808537e-05  2.80247972e-07  2.55790135e-07  2.55906518e-07 
 2.09000000e-02  1.57934958e-03  1.32162548e-05  2.80139598e-07  2.56075008e-07  2.55925927e-07 
 2.10000000e-02  1.58221024e-03  1.32523078e-05  2.80117668e-07  2.55998731e-07  2.56277234e-07 
 2.11000000e-02  1.58507544e-03  1.32882966e-05  2.80349876e-07  2.55950719e-07  2.55740156e-07 
 2.12000000e-02  1.58794562e-03  1.33243554e-05  2.80597816e-07  2.55936838e-07  2.55861724e-07 
 2.13000000e-02  1.59081944e-03  1.33601350e-05  2.80704387e-07  2.56008755e-07  2.55894139e-07 
 2.14000000e-02  1.59369840e-03  1.33964141e-05  2.80229551e-07  2.55862180e-07  2.55923068e-07 
 2.15000000e-02  1.59658203e-03  1.34330544e-05  2.80564164e-07  2.55779919e-07  2.55559106e-07 
 2.16000000e-02  1.59946968e-03  1.34694262e-05  2.80563897e-07  2.55784274e-07  2.55741378e-07 
 2.17000000e-02  1.60236208e-03  1.35057258e-05  2.80774277e-07  2.55859918e-07  2.55593603e-07 
 2.18000000e-02  1.60525958e-03  1.35424572e-05  2.80884196e-07  2.55962589e-07  2.56015183e-07 
 2.19000000e-02  1.60816161e-03  1.35792275e-05  2.80595894e-07  2.55805758e-07  2.55836475e-07 
 2.20000000e-02  1.61106769e-03  1.36161314e-05  2.81122612e-07  2.55660757e-07  2.55817820e-07 
 2.21000000e-02  1.61397847e-03  1.36532560e-05  2.80980241e-07  2.55720680e-07  2.55786856e-07 
 2.22000000e-02  1.61689397e-03  1.36902141e-05  2.80797155e-07  2.56031866e-07  2.56023960e-07 
 2.23000000e-02  1.61981415e-03  1.37275556e-05  2.81306431e-07  2.55816260e-07  2.55784436e-07 
 2.24000000e-02  1.62273900e-03  1.37648100e-05  2.81359005e-07  2.55771609e-07  2.55890911e-07 
 2.25000000e-02  1.62566821e-03  1.38020473e-05  2.81538682e-07  2.55861894e-07  2.56136318e-07 
 2.26000000e-02  1.62860231e-03  1.38397891e-05  2.81669789e-07  2.56096378e-07  2.55898628e-07 
 2.27000000e-02  1.63154097e-03  1.38770581e-05  2.81093594e-07  2.55916991e-07  2.55905154e-07 
 2.28000000e-02  1.63448400e-03  1.39153130e-05  2.81190613e-07  2.55869012e-07  2.55516840e-07 
 2.29000000e-02  1.63743204e-03  1.39530879e-05  2.81787389e-07  2.55710596e-07  2.55761102e-07 
 2.30000000e-02  1.64038449e-03  1.39909442e-05  2.81453999e-07  2.55782131e-07  2.56031565e-07 
 2.31000000e-02  1.64334164e-03  1.40292070e-05  2.81699401e-07  2.55921653e-07  2.55982134e-07 
 2.32000000e-02  1.64630353e-03  1.40672876e-05  2.81687267e-07  2.55973537e-07  2.55743183e-07 
 2.33000000e-02  1.64927048e-03  1.41054150e-05  2.81983703e-07  2.55731358e-07  2.55978179e-07 
 2.34000000e-02  1.65224149e-03  1.41439372e-05  2.81778646e-07  2.55830634e-07  2.55650153e-07 
 2.35000000e-02  1.65521732e-03  1.41825358e-05  2.82071110e-07  2.55751849e-07  2.56019207e-07 
 2.36000000e-02  1.65819824e-03  1.42210306e-05  2.82255991e-07  2.55778790e-07  2.55888351e-07 
 2.37000000e-02  1.66118339e-03  1.42598051e-05  2.82226832e-07  2.55999418e-07  2.55936957e-07 
 2.38000000e-02  1.66417362e-03  1.42989113e-05  2.82416388e-07  2.55975710e-07  2.56033139e-07 
 2.39000000e-02  1.66716830e-03  1.43378537e-05  2.82259502e-07  2.55771308e-07  2.56092296e-07 
 2.40000000e-02  1.67016753e-03  1.43766456e-05  2.82268329e-07  2.55946886e-07  2.55881628e-07 
 2.41000000e-02  1.67317210e-03  1.44159993e-05  2.82531663e-07  2.55986002e-07  2.56032280e-07 
 2.42000000e-02  1.67618097e-03  1.44553218e-05  2.82751952e-07  2.55858553e-07  2.55725623e-07 
 2.43000000e-02  1.67919454e-03  1.44949649e-05  2.82871517e-07  2.56020267e-07  2.56074399e-07 
 2.44000000e-02  1.68221300e-03  1.45344260e-05  2.82924277e-07  2.55907589e-07  2.55647802e-07 
 2.45000000e-02  1.68523603e-03  1.45738215e-05  2.82891893e-07  2.55881136e-07  2.56281981e-07 
 2.46000000e-02  1.68826392e-03  1.46140081e-05  2.82709732e-07  2.55994578e-07  2.55993987e-07 
 2.47000000e-02  1.69129665e-03  1.46538987e-05  2.82909441e-07  2.55921233e-07  2.55929435e-07 
